tanggal;pelanggan;suhu
01/01/2024;201;31
02/01/2024;150;30
03/01/2024;196;31
04/01/2024;167;31
05/01/2024;112;31
06/01/2024;188;31
07/01/2024;164;31
08/01/2024;126;31
09/01/2024;129;31
10/01/2024;146;32
11/01/2024;72;31
12/01/2024;141;31
13/01/2024;134;30
14/01/2024;174;31
15/01/2024;109;31
16/01/2024;91;30
17/01/2024;129;31
18/01/2024;84;31
19/01/2024;117;30
20/01/2024;126;30
21/01/2024;163;31
22/01/2024;130;31
23/01/2024;124;31
24/01/2024;129;32
25/01/2024;149;31
26/01/2024;152;31
27/01/2024;201;31
28/01/2024;159;31
29/01/2024;133;31
30/01/2024;118;31
31/01/2024;109;31
01/02/2024;132;31
02/02/2024;152;31
03/02/2024;115;31
04/02/2024;148;31
05/02/2024;106;31
06/02/2024;147;31
07/02/2024;115;30
08/02/2024;168;31
09/02/2024;137;31
10/02/2024;171;31
11/02/2024;164;30
12/02/2024;118;31
13/02/2024;134;31
14/02/2024;301;31
15/02/2024;203;33
16/02/2024;174;34
17/02/2024;176;32
18/02/2024;178;32
19/02/2024;123;31
20/02/2024;170;32
21/02/2024;49;29
22/02/2024;134;31
23/02/2024;108;31
24/02/2024;167;31
25/02/2024;134;30
26/02/2024;82;30
27/02/2024;101;31
28/02/2024;114;31
29/02/2024;125;31
01/03/2024;88;30
02/03/2024;152;30
03/03/2024;129;30
04/03/2024;92;31
05/03/2024;124;31
06/03/2024;91;31
07/03/2024;132;31
08/03/2024;80;30
09/03/2024;78;30
10/03/2024;121;30
11/03/2024;206;31
12/03/2024;122;31
13/03/2024;78;31
14/03/2024;140;31
15/03/2024;132;31
16/03/2024;114;31
17/03/2024;120;31
18/03/2024;81;31
19/03/2024;89;31
20/03/2024;83;31
21/03/2024;80;31
22/03/2024;143;31
23/03/2024;186;31
24/03/2024;185;31
25/03/2024;114;31
26/03/2024;152;31
27/03/2024;89;31
28/03/2024;86;29
29/03/2024;180;31
30/03/2024;209;32
31/03/2024;188;31
01/04/2024;144;31
02/04/2024;168;32
03/04/2024;175;32
04/04/2024;137;31
05/04/2024;191;31
06/04/2024;125;31
07/04/2024;206;31
08/04/2024;204;31
09/04/2024;180;31
10/04/2024;90;30
11/04/2024;277;31
12/04/2024;258;31
13/04/2024;227;31
14/04/2024;150;31
15/04/2024;195;31
16/04/2024;147;31
17/04/2024;172;31
18/04/2024;128;31
19/04/2024;222;31
20/04/2024;165;31
21/04/2024;170;31
22/04/2024;139;31
23/04/2024;169;32
24/04/2024;108;30
25/04/2024;145;31
26/04/2024;153;31
27/04/2024;223;31
28/04/2024;211;31
29/04/2024;151;31
30/04/2024;174;31
01/05/2024;178;31
02/05/2024;144;31
03/05/2024;204;31
04/05/2024;204;31
05/05/2024;158;31
06/05/2024;95;30
07/05/2024;184;32
08/05/2024;182;32
09/05/2024;145;30
10/05/2024;193;31
11/05/2024;150;31
12/05/2024;149;30
13/05/2024;172;31
14/05/2024;120;30
15/05/2024;120;31
16/05/2024;142;30
17/05/2024;144;30
18/05/2024;179;30
19/05/2024;136;30
20/05/2024;142;31
21/05/2024;115;30
22/05/2024;131;30
23/05/2024;155;30
24/05/2024;161;30
25/05/2024;201;31
26/05/2024;141;30
27/05/2024;87;30
28/05/2024;193;32
29/05/2024;186;32
30/05/2024;115;31
31/05/2024;145;30
01/06/2024;211;32
02/06/2024;145;31
03/06/2024;150;30
04/06/2024;150;31
05/06/2024;149;31
06/06/2024;130;31
07/06/2024;129;29
08/06/2024;164;30
09/06/2024;195;32
10/06/2024;138;30
11/06/2024;155;30
12/06/2024;145;32
13/06/2024;89;29
14/06/2024;143;31
15/06/2024;179;31
16/06/2024;229;31
17/06/2024;315;32
18/06/2024;210;31
19/06/2024;151;31
20/06/2024;171;31
21/06/2024;149;31
22/06/2024;151;31
23/06/2024;187;31
24/06/2024;114;30
25/06/2024;165;31
26/06/2024;135;31
27/06/2024;131;31
28/06/2024;143;31
29/06/2024;201;31
30/06/2024;203;31
01/07/2024;71;29
02/07/2024;105;29
03/07/2024;166;31
04/07/2024;201;31
05/07/2024;167;31
06/07/2024;134;29
07/07/2024;131;29
08/07/2024;159;31
09/07/2024;117;31
10/07/2024;153;31
11/07/2024;117;31
12/07/2024;129;31
13/07/2024;140;30
14/07/2024;144;31
15/07/2024;138;31
16/07/2024;99;31
17/07/2024;104;31
18/07/2024;93;30
19/07/2024;130;32
20/07/2024;138;31
21/07/2024;139;31
22/07/2024;119;31
23/07/2024;108;32
24/07/2024;93;30
25/07/2024;92;31
26/07/2024;113;31
27/07/2024;113;31
28/07/2024;117;32
29/07/2024;98;32
30/07/2024;77;30
31/07/2024;96;31
01/08/2024;105;31
02/08/2024;111;30
03/08/2024;139;31
04/08/2024;142;31
05/08/2024;112;31
06/08/2024;91;31
07/08/2024;81;30
08/08/2024;76;30
09/08/2024;111;31
10/08/2024;93;31
11/08/2024;97;31
12/08/2024;68;31
13/08/2024;97;31
14/08/2024;107;31
15/08/2024;122;32
16/08/2024;104;31
17/08/2024;163;31
18/08/2024;149;31
19/08/2024;116;31
20/08/2024;111;31
21/08/2024;77;31
22/08/2024;79;29
23/08/2024;121;31
24/08/2024;96;29
25/08/2024;156;31
26/08/2024;102;30
27/08/2024;93;29
28/08/2024;92;29
29/08/2024;57;28
30/08/2024;111;31
31/08/2024;124;30
01/09/2024;101;29
02/09/2024;135;31
03/09/2024;152;32
04/09/2024;127;32
05/09/2024;83;30
06/09/2024;158;32
07/09/2024;198;32
08/09/2024;155;30
09/09/2024;101;30
10/09/2024;127;31
11/09/2024;162;32
12/09/2024;154;32
13/09/2024;151;32
14/09/2024;167;32
15/09/2024;216;32
16/09/2024;167;32
17/09/2024;166;32
18/09/2024;128;31
19/09/2024;129;32
20/09/2024;141;32
21/09/2024;175;32
22/09/2024;153;31
23/09/2024;85;29
24/09/2024;137;31
25/09/2024;93;30
26/09/2024;130;31
27/09/2024;138;31
28/09/2024;176;31
29/09/2024;155;32
30/09/2024;127;32
01/10/2024;91;31
02/10/2024;87;30
03/10/2024;112;30
